dataset,polarization,num_images,avg_ssim_3d,avg_ssim_2d,avg_mse,avg_mae,avg_rase,avg_fidelity,avg_RSE,avg_sre_l1,avg_sre_l2,avg_rsre_l1,avg_rsre_l2,avg_sigma_mean,avg_sigma_std,avg_sigma_min,avg_sigma_max,avg_sigma_median,avg_psnr
produce_augmented,90,656,0.9513494509226036,0.8835344022117791,0.00060524704,0.009516063,43.27451660476392,0.8702894924920285,0.185458350722201,0.009516063,0.021498166,18.54123112620649,21.160553039119737,0.0027139182914142,0.0049073392597719,8.639668805990544e-18,0.0746359340278658,0.0009258468820383999,32.180673258264356
produce_augmented,135,656,0.9516753629052268,0.8832748254045517,0.0005947456,0.009425892,42.73038146187231,0.870183769865989,0.1841920465458093,0.009425892,0.021306459,18.38907235551898,20.900182998398456,0.0027623924049804,0.0050167459004314,3.5798728181959393e-16,0.0751770705541187,0.000935654855511,32.25668762242002
rescharts_augmented,0,640,0.9710921797240566,0.8972967315096163,0.0003591643,0.010538756,15.395732797793883,0.8711136569495863,0.10132227351423348,0.010538756,0.017008621,9.5948485750705,9.96716196736088,0.0042488896568102,0.0037422135534143004,2.8712460391957667e-16,0.0308232258859789,0.0038022406937669997,34.447068376047405
rescharts_augmented,45,640,0.96947076150996,0.895774490603079,0.0003783833,0.010824561,15.89542214624887,0.8704215201507509,0.1050910321122501,0.010824561,0.017417163,9.948969084362034,10.301020081096794,0.0042438058837433,0.0038253838687523,7.564272811705067e-19,0.0340250872279284,0.0036261751032724996,34.220680394951266
rescharts_augmented,90,640,0.9699962104038924,0.8946098982599967,0.00037539442,0.010880293,16.00637232258177,0.8707349108916673,0.1042746707156766,0.010880293,0.017619537,9.956505509908313,10.36073682596907,0.0044720010424498,0.0040604742807772,6.007293278602516e-16,0.0371840842592064,0.0038356909495632003,34.25512187178764
rescharts_augmented,135,640,0.9702019958673412,0.8975841904492722,0.0003790846,0.010841533,15.894391908233398,0.8709339446158367,0.1038283094007056,0.010841533,0.01755401,9.881750660133548,10.256423941464163,0.0043155722694791,0.0039313767869316,9.464563489943798e-17,0.0373303873988334,0.0036045370936335004,34.21263858071243
william_summer_augmented,0,896,0.984592464091424,0.9423070281994624,0.00010036394000000001,0.0039050952,12.375181051077451,0.8771225890053164,0.0522217284659356,0.0039050952,0.009088491,5.237958188185336,7.739832104666026,0.0039504090751246,0.0061874726273215,7.552708534202069e-18,0.0879170740892212,0.0019607327089293,39.98422297868871
william_summer_augmented,45,896,0.9842232082856172,0.9423343648294564,0.000103957274,0.0039802054,12.59210779343543,0.8770899977611626,0.0528337663417914,0.0039802054,0.009274557,5.318926492639418,7.891532452777028,0.0039695893491235,0.0062994562424916,5.572552362312683e-19,0.0868046910597643,0.0019033340816869,39.831451172268125
william_summer_augmented,90,896,0.9817130321812704,0.936974214362302,0.000120452474,0.0043416684,13.795615146348666,0.8768036272660952,0.0580372377423503,0.0043416684,0.01011136,5.830945049404233,8.647866189338467,0.0045928795555352,0.0075882221391501,1.0672947606967408e-19,0.1108587342854921,0.0021256321954621,39.191842755036284
william_summer_augmented,135,896,0.9806157979416926,0.9366354614973658,0.0001345084,0.0046466216,14.43858077636892,0.8766851025614041,0.0614268284428232,0.0046466216,0.010655866,6.182517011101091,9.08232009429152,0.0045582280103449,0.0074763299131258,1.9875911956554056e-15,0.1059744113736087,0.0020998424985399,38.7125059328436
